country;zip;city;zeros
NO;0864;OSLO;0
NO;0870;OSLO;0
NO;0871;OSLO;0
NO;0872;OSLO;0
NO;0873;OSLO;0
NO;0874;OSLO;0
NO;0875;OSLO;0
NO;0876;OSLO;0
NO;0877;OSLO;0
NO;0880;OSLO;0
NO;0881;OSLO;0
NO;0882;OSLO;0
NO;0883;OSLO;0
NO;0884;OSLO;0
NO;0890;OSLO;0
NO;0891;OSLO;0
NO;0901;OSLO;0
NO;0902;OSLO;0
NO;0903;OSLO;0
NO;0904;OSLO;0
NO;0905;OSLO;0
NO;0907;OSLO;0
NO;0908;OSLO;0
NO;0913;OSLO;0
NO;0914;OSLO;0
NO;0915;OSLO;0
NO;0950;OSLO;0
NO;0951;OSLO;0
NO;0952;OSLO;0
NO;0953;OSLO;0
NO;0954;OSLO;0
NO;0955;OSLO;0
NO;0956;OSLO;0
NO;0957;OSLO;0
NO;0958;OSLO;0
NO;0959;OSLO;0
NO;0960;OSLO;0
NO;0962;OSLO;0
NO;0963;OSLO;0
NO;0964;OSLO;0
NO;0968;OSLO;0
NO;0969;OSLO;0
NO;0970;OSLO;0
NO;0971;OSLO;0
NO;0972;OSLO;0
NO;0973;OSLO;0
NO;0975;OSLO;0
NO;0976;OSLO;0
NO;0977;OSLO;0
NO;0978;OSLO;0
NO;0979;OSLO;0
NO;0980;OSLO;0
NO;0981;OSLO;0
NO;0982;OSLO;0
NO;0983;OSLO;0
NO;0984;OSLO;0
NO;0985;OSLO;0
NO;0986;OSLO;0
NO;0987;OSLO;0
NO;0988;OSLO;0
NO;1001;OSLO;0
NO;1003;OSLO;0
NO;1005;OSLO;0
NO;1006;OSLO;0
NO;1007;OSLO;0
NO;1008;OSLO;0
NO;1009;OSLO;0
NO;1011;OSLO;0
NO;1051;OSLO;0
NO;1052;OSLO;0
NO;1053;OSLO;0
NO;1054;OSLO;0
NO;1055;OSLO;0
NO;1056;OSLO;0
NO;1061;OSLO;0
NO;1062;OSLO;0
NO;1063;OSLO;0
NO;1064;OSLO;0
NO;1065;OSLO;0
NO;1067;OSLO;0
NO;1068;OSLO;0
NO;1069;OSLO;0
NO;1071;OSLO;0
NO;1081;OSLO;0
NO;1083;OSLO;0
NO;1084;OSLO;0
NO;1086;OSLO;0
NO;1087;OSLO;0
NO;1088;OSLO;0
NO;1089;OSLO;0
NO;1101;OSLO;0
NO;1102;OSLO;0
NO;1108;OSLO;0
NO;1109;OSLO;0
NO;1112;OSLO;0
NO;1150;OSLO;0
NO;1151;OSLO;0
NO;1152;OSLO;0
NO;1153;OSLO;0
NO;1154;OSLO;0
NO;1155;OSLO;0
NO;1156;OSLO;0
NO;1157;OSLO;0
NO;1158;OSLO;0
NO;1160;OSLO;0
NO;1161;OSLO;0
NO;1162;OSLO;0
NO;1163;OSLO;0
NO;1164;OSLO;0
NO;1165;OSLO;0
NO;1166;OSLO;0
NO;1167;OSLO;0
NO;1168;OSLO;0
NO;1169;OSLO;0
NO;1170;OSLO;0
NO;1172;OSLO;0
NO;1176;OSLO;0
NO;1177;OSLO;0
NO;1178;OSLO;0
NO;1179;OSLO;0
NO;1181;OSLO;0
NO;1182;OSLO;0
NO;1184;OSLO;0
NO;1185;OSLO;0
NO;1187;OSLO;0
NO;1188;OSLO;0
NO;1189;OSLO;0
NO;1201;OSLO;0
NO;1203;OSLO;0
NO;1204;OSLO;0
NO;1205;OSLO;0
NO;1207;OSLO;0
NO;1214;OSLO;0
NO;1215;OSLO;0
NO;1250;OSLO;0
